 Masse A  
t x y 
0.000 182.2 93.94
1.000 182.4 94.09
2.000 182.6 94.00
3.000 182.7 94.05
4.000 182.8 93.99
5.000 183.3 93.96
6.000 183.8 94.09
7.000 184.1 94.01
8.000 184.2 94.09
9.000 184.3 94.02
10.000 184.7 94.09
11.000 184.8 94.04
12.000 185.2 94.02
13.000 185.6 94.04
14.000 185.9 94.03
15.000 186.1 93.85
16.000 186.4 93.97
17.000 186.4 93.98
18.000 186.6 94.00
19.000 186.7 94.00
20.000 187.3 94.02
21.000 187.8 93.93
22.000 188.2 93.98
23.000 188.4 94.02
24.000 188.5 94.08
25.000 188.6 94.04
26.000 189.1 94.05
27.000 189.4 94.00
28.000 189.7 94.11
29.000 189.9 94.02
30.000 190.4 94.03
31.000 190.6 94.20
32.000 190.8 94.02
33.000 191.3 94.13
34.000 191.6 94.19
35.000 191.8 94.08
36.000 192.3 94.16
37.000 192.6 94.10
38.000 192.7 94.28
39.000 193.0 94.08
40.000 193.3 94.07
41.000 193.8 94.14
42.000 194.2 94.12
43.000 194.4 94.26
44.000 194.5 94.24
45.000 195.0 94.17
46.000 195.4 94.23
47.000 195.7 94.23
48.000 195.8 94.11
49.000 196.4 94.24
50.000 196.7 94.16
51.000 196.8 94.23
52.000 197.4 94.20
53.000 197.8 94.13
54.000 198.3 94.21
55.000 198.6 94.23
56.000 198.9 94.06
57.000 199.5 94.13
58.000 199.7 94.31
59.000 199.8 94.15
60.000 200.3 94.20
61.000 200.6 94.25
62.000 201.0 94.16
63.000 201.5 94.20
64.000 201.9 94.14
65.000 202.3 94.28
66.000 202.5 94.35
67.000 202.7 94.32
68.000 203.2 94.25
69.000 203.8 94.20
70.000 204.3 94.22
71.000 204.5 94.26
72.000 204.6 94.40
73.000 205.0 94.27
74.000 205.5 94.32
75.000 205.9 94.39
76.000 206.3 94.36
77.000 206.6 94.27
78.000 206.8 94.36
79.000 207.5 94.40
80.000 207.8 94.28
81.000 208.3 94.38
82.000 208.4 94.45
83.000 208.6 94.77
84.000 208.9 94.72
85.000 209.4 94.87
86.000 209.8 94.84
87.000 210.2 94.77
88.000 210.4 94.87
89.000 210.6 94.93
90.000 211.0 94.88
91.000 211.4 94.85
92.000 211.6 94.97
93.000 212.0 94.85
94.000 212.3 94.86
95.000 212.5 94.91
96.000 212.7 94.93
97.000 213.0 94.93
98.000 213.3 94.89
99.000 213.7 95.03
100.000 214.0 94.93
101.000 214.4 94.93
102.000 214.5 94.97
103.000 214.8 94.84
104.000 215.3 94.85
105.000 215.5 94.94
106.000 215.7 95.07
107.000 215.8 95.01
108.000 216.3 95.02
109.000 216.5 94.97
110.000 216.6 95.05
111.000 216.8 94.96
112.000 217.1 94.95
113.000 217.4 95.04
114.000 217.6 95.00
115.000 217.7 95.01
116.000 217.8 95.00
117.000 218.3 95.02
118.000 218.4 95.00
119.000 218.5 95.03
120.000 218.7 95.08
121.000 218.7 95.13
122.000 218.8 95.03
123.000 219.4 95.08
124.000 219.4 95.16
125.000 219.6 95.17
126.000 219.8 95.13
127.000 220.1 95.14
128.000 220.3 95.13
129.000 220.4 95.11
130.000 220.5 95.21
131.000 220.5 95.16
132.000 220.5 95.15
133.000 220.6 95.09
134.000 220.7 95.08
135.000 220.8 95.10
136.000 221.1 95.01
137.000 221.2 95.07
138.000 221.3 95.11
139.000 221.4 95.00
140.000 221.4 95.06
141.000 221.5 95.07
142.000 221.6 95.09
143.000 221.6 95.02
144.000 221.6 95.05
145.000 221.6 95.12
146.000 221.6 95.07
147.000 221.6 95.09
148.000 221.7 95.08
149.000 221.6 95.10
150.000 221.6 95.04
151.000 221.6 95.07
152.000 221.6 95.08
153.000 221.6 95.06
154.000 221.6 95.05
155.000 221.5 95.04
156.000 221.3 95.07
157.000 221.4 95.07
158.000 221.4 95.06
159.000 221.4 95.08
160.000 221.3 95.05
161.000 221.3 95.04
162.000 221.3 95.10
163.000 221.3 95.08
164.000 221.3 95.09
165.000 221.1 95.10
166.000 221.0 95.12
167.000 220.9 95.05
168.000 220.7 95.01
169.000 220.5 95.12
170.000 220.4 95.16
171.000 220.4 95.07
172.000 220.3 95.06
173.000 220.2 95.08
174.000 220.0 94.98
175.000 220.0 95.02
176.000 220.0 94.96
177.000 220.0 95.00
178.000 219.8 95.03
179.000 219.7 95.10
180.000 219.4 95.00
181.000 219.2 95.02
182.000 219.2 95.00
183.000 219.0 94.93
184.000 218.8 95.04
185.000 218.8 94.97
186.000 218.7 95.04
187.000 218.3 95.04
188.000 218.1 94.98
189.000 218.0 94.92
190.000 218.0 94.98
191.000 217.9 94.90
192.000 217.7 94.90
193.000 217.6 94.95
194.000 217.2 94.92
195.000 216.8 94.97
196.000 216.8 94.91
197.000 216.8 94.87
198.000 216.5 95.01
199.000 216.2 94.98
200.000 216.1 94.96
201.000 216.0 94.90
202.000 215.5 94.92
203.000 215.4 94.92
204.000 215.1 94.84
205.000 214.9 94.91
206.000 214.7 94.94
207.000 214.4 94.92
208.000 214.3 94.91
209.000 214.2 94.86
210.000 214.1 94.90
211.000 213.7 94.89
212.000 213.5 94.96
213.000 213.1 94.89
214.000 213.0 94.90
215.000 212.9 94.91
216.000 212.7 94.94
217.000 212.3 94.96
218.000 212.1 94.97
219.000 211.9 94.93
220.000 211.9 94.85
221.000 211.7 94.89
222.000 211.2 94.87
223.000 211.1 94.85
224.000 210.7 94.89
225.000 210.4 94.84
226.000 210.2 94.88
227.000 210.1 94.92
228.000 210.0 94.83
229.000 209.8 94.82
230.000 209.8 94.85
231.000 209.4 94.89
232.000 209.1 94.78
233.000 208.9 94.79
234.000 208.6 94.77
235.000 208.3 94.72
236.000 208.0 94.81
237.000 207.9 94.72
238.000 207.8 94.65
239.000 207.6 94.79
