 Masse A  
t x y 
0.000 69.38 59.42
1.000 69.01 59.51
2.000 68.59 59.51
3.000 68.26 59.55
4.000 68.02 59.73
5.000 67.59 59.52
6.000 67.27 59.53
7.000 66.96 59.52
8.000 66.69 59.35
9.000 66.04 59.44
10.000 65.68 59.39
11.000 65.28 59.47
12.000 65.22 59.56
13.000 65.08 59.25
14.000 64.83 59.63
15.000 64.52 59.42
16.000 64.07 59.38
17.000 64.06 59.44
18.000 64.02 59.04
19.000 63.86 59.60
20.000 63.54 59.40
21.000 63.46 59.49
22.000 63.43 59.49
23.000 63.32 59.37
24.000 63.26 59.59
25.000 63.25 59.49
26.000 63.27 59.43
27.000 63.30 59.45
28.000 63.27 59.40
29.000 63.27 59.51
30.000 63.28 59.47
31.000 63.28 59.46
32.000 63.27 59.49
33.000 63.31 59.41
34.000 63.32 59.49
35.000 63.32 59.44
36.000 63.42 59.38
37.000 63.52 59.63
38.000 63.63 59.37
39.000 63.59 59.43
40.000 63.87 59.45
41.000 63.88 59.32
42.000 64.23 59.50
43.000 64.79 59.44
44.000 64.83 59.46
45.000 64.81 59.45
46.000 65.09 59.47
47.000 65.57 59.52
48.000 65.74 59.48
49.000 65.94 59.45
50.000 66.62 59.56
51.000 66.74 59.54
52.000 67.18 59.49
53.000 67.74 59.54
54.000 67.90 59.48
55.000 68.49 59.53
56.000 68.65 59.22
57.000 68.96 59.54
58.000 69.52 59.50
59.000 69.80 59.51
60.000 70.37 59.48
61.000 71.02 59.34
62.000 71.54 59.44
63.000 71.91 59.35
64.000 72.40 59.39
65.000 72.96 59.52
66.000 73.48 59.23
67.000 73.93 59.55
68.000 74.82 59.50
69.000 75.16 59.51
70.000 75.79 59.61
71.000 76.18 59.42
72.000 77.08 59.56
73.000 77.66 59.49
74.000 78.15 59.44
75.000 78.81 59.61
76.000 79.49 59.30
77.000 80.05 59.57
78.000 81.01 59.53
79.000 81.65 59.46
80.000 82.03 59.73
81.000 83.00 59.47
82.000 83.65 59.58
83.000 84.13 59.34
84.000 85.06 59.51
85.000 85.93 59.60
86.000 86.89 59.44
87.000 87.66 59.69
88.000 87.94 59.55
89.000 88.99 59.49
90.000 89.82 59.74
91.000 90.13 59.56
92.000 91.18 59.56
93.000 91.86 59.57
94.000 92.48 59.65
95.000 93.19 59.77
96.000 94.36 59.54
97.000 95.16 59.64
98.000 96.00 59.62
99.000 96.98 59.53
100.000 97.77 60.06
101.000 98.53 59.78
102.000 99.26 59.79
103.000 100.1 59.79
104.000 101.1 59.58
105.000 102.0 59.68
106.000 102.9 59.63
107.000 103.7 59.71
108.000 104.3 59.63
109.000 105.5 59.64
110.000 106.3 59.78
111.000 107.2 59.64
112.000 108.1 59.68
113.000 109.0 59.85
114.000 109.8 59.48
115.000 110.7 59.74
116.000 111.4 60.04
117.000 112.3 60.00
118.000 113.2 60.25
119.000 114.2 59.79
120.000 115.3 59.82
121.000 116.1 59.80
122.000 117.1 59.65
123.000 117.9 59.79
124.000 118.9 59.37
125.000 119.7 59.84
126.000 120.5 59.85
127.000 121.2 59.77
128.000 122.1 59.87
129.000 123.2 59.52
130.000 124.0 59.64
131.000 124.7 60.02
132.000 125.7 60.00
133.000 126.6 60.15
134.000 127.6 60.11
135.000 128.1 60.10
136.000 129.4 60.25
137.000 130.0 60.11
138.000 131.1 60.43
139.000 131.9 60.17
140.000 133.0 60.21
141.000 133.6 60.19
142.000 134.2 60.14
143.000 135.3 60.44
144.000 135.9 60.35
145.000 137.1 60.34
146.000 137.7 60.14
147.000 138.4 60.14
148.000 139.3 60.48
149.000 140.0 60.31
150.000 140.9 60.36
151.000 141.4 60.33
152.000 142.3 60.30
153.000 143.2 60.36
154.000 143.8 60.43
155.000 144.6 60.56
156.000 145.2 60.53
157.000 145.9 60.40
158.000 146.9 60.48
159.000 147.4 60.42
160.000 148.0 60.48
161.000 148.8 60.54
162.000 149.5 60.37
163.000 150.0 60.45
164.000 150.7 60.43
165.000 151.4 60.44
166.000 151.9 60.62
167.000 152.7 60.48
168.000 153.3 60.51
169.000 153.8 60.50
170.000 154.4 60.41
171.000 155.1 60.66
172.000 155.8 60.54
173.000 156.2 60.56
174.000 156.8 60.60
175.000 157.2 60.33
176.000 157.7 60.55
177.000 158.1 60.43
178.000 158.8 60.48
179.000 159.3 60.60
180.000 159.8 60.27
181.000 160.3 60.47
182.000 160.9 60.46
183.000 161.1 60.54
184.000 161.6 60.52
185.000 161.8 60.45
186.000 162.2 60.68
187.000 162.9 60.20
188.000 163.4 60.37
189.000 163.5 60.59
190.000 163.8 60.35
191.000 163.9 60.45
192.000 164.5 60.32
193.000 164.8 60.32
194.000 165.0 60.48
195.000 165.3 60.35
196.000 165.5 60.53
197.000 165.8 60.43
198.000 166.0 60.42
199.000 166.4 60.54
200.000 166.7 60.51
201.000 166.7 60.67
202.000 166.8 60.66
203.000 166.9 60.69
204.000 167.0 60.44
205.000 167.3 60.40
206.000 167.4 60.54
207.000 167.5 60.44
208.000 167.5 60.49
209.000 167.5 60.61
210.000 167.5 60.47
211.000 167.6 60.59
212.000 167.6 60.53
213.000 167.5 60.53
214.000 167.6 60.61
215.000 167.5 60.52
216.000 167.5 60.44
217.000 167.5 60.51
218.000 167.5 60.46
219.000 167.4 60.55
220.000 167.3 60.47
221.000 167.3 60.53
222.000 167.2 60.43
223.000 167.2 60.44
224.000 167.1 60.49
225.000 167.0 60.37
226.000 166.7 60.59
227.000 166.4 60.52
228.000 166.0 60.31
229.000 166.0 60.47
230.000 165.6 60.43
231.000 165.3 60.37
232.000 164.9 60.50
