 Masse A  
t x y 
0.000 119.8 58.09
1.000 120.2 58.20
2.000 120.3 58.33
3.000 120.4 58.22
4.000 121.2 58.30
5.000 121.6 58.17
6.000 122.0 58.16
7.000 122.2 58.27
8.000 122.5 58.11
9.000 123.1 58.13
10.000 123.5 58.10
11.000 123.9 58.10
12.000 124.2 58.35
13.000 124.6 58.19
14.000 125.1 57.88
15.000 125.5 58.15
16.000 126.1 58.05
17.000 126.3 58.22
18.000 126.9 58.19
19.000 127.5 58.17
20.000 128.0 58.26
21.000 128.3 58.14
22.000 129.1 58.30
23.000 129.5 58.19
24.000 129.9 58.28
25.000 130.2 58.26
26.000 130.7 57.99
27.000 131.3 58.09
28.000 131.6 58.18
29.000 132.2 58.23
30.000 132.4 58.25
31.000 133.4 58.25
32.000 134.1 58.42
33.000 134.4 58.30
34.000 135.3 58.35
35.000 135.5 58.29
36.000 136.3 58.33
37.000 136.4 58.33
38.000 137.4 58.40
39.000 138.0 58.38
40.000 138.4 58.32
41.000 139.1 58.24
42.000 139.6 58.27
43.000 140.2 58.30
44.000 140.6 58.30
45.000 141.3 58.33
46.000 141.9 58.37
47.000 142.5 58.30
48.000 143.2 58.42
49.000 143.6 58.16
50.000 144.3 58.65
51.000 144.7 58.70
52.000 145.4 58.78
53.000 146.1 58.92
54.000 146.5 58.74
55.000 147.4 58.74
56.000 148.1 58.77
57.000 148.6 58.61
58.000 149.3 58.84
59.000 149.8 58.67
60.000 150.4 58.62
61.000 151.3 58.90
62.000 151.7 58.78
63.000 152.4 58.91
64.000 153.2 58.91
65.000 153.6 58.80
66.000 154.2 58.69
67.000 154.6 58.80
68.000 155.5 58.73
69.000 156.1 58.91
70.000 156.8 58.77
71.000 157.3 58.97
72.000 157.8 58.69
73.000 158.4 58.67
74.000 159.1 58.86
75.000 159.8 58.82
76.000 160.3 58.85
77.000 160.8 58.88
78.000 161.5 58.85
79.000 162.1 58.91
80.000 162.5 58.85
81.000 163.2 58.76
82.000 163.7 58.76
83.000 164.3 58.94
84.000 164.9 58.99
85.000 165.5 59.07
86.000 166.0 59.00
87.000 166.5 58.82
88.000 167.4 58.84
89.000 168.0 58.90
90.000 168.4 59.01
91.000 169.3 59.00
92.000 169.6 58.91
93.000 170.1 58.98
94.000 170.5 58.91
95.000 171.4 59.00
96.000 171.9 59.06
97.000 172.3 59.15
98.000 172.8 59.01
99.000 173.4 58.87
100.000 173.9 59.06
101.000 174.2 59.16
102.000 174.5 58.92
103.000 175.3 58.97
104.000 176.0 59.01
105.000 176.3 59.28
106.000 176.7 59.08
107.000 177.2 59.08
108.000 177.7 59.19
109.000 178.1 59.14
110.000 178.4 58.93
111.000 179.0 59.06
112.000 179.5 59.11
113.000 179.8 59.10
114.000 180.2 59.03
115.000 180.4 59.06
116.000 181.3 59.08
117.000 181.6 59.17
118.000 181.9 59.19
119.000 182.3 59.06
120.000 182.5 58.96
121.000 183.4 58.98
122.000 183.8 59.12
123.000 184.1 59.20
124.000 184.3 59.06
125.000 184.9 59.21
126.000 185.0 59.15
127.000 185.4 59.10
128.000 185.8 59.28
129.000 186.1 59.12
130.000 186.4 59.12
131.000 186.6 59.12
132.000 187.0 59.24
133.000 187.1 59.28
134.000 187.5 59.21
135.000 187.9 59.22
136.000 187.9 59.22
137.000 188.1 59.21
138.000 188.3 59.26
139.000 188.9 59.19
140.000 188.9 59.13
141.000 189.1 59.13
142.000 189.4 59.13
143.000 189.7 59.04
144.000 189.6 59.10
145.000 189.9 59.22
146.000 189.9 59.30
147.000 190.0 59.16
148.000 190.2 59.26
149.000 190.2 59.21
150.000 190.2 59.20
151.000 190.2 59.20
152.000 190.3 59.13
153.000 190.4 59.21
154.000 190.7 59.18
155.000 190.7 59.22
156.000 190.8 59.26
157.000 190.8 59.26
158.000 190.8 59.24
159.000 190.8 59.24
160.000 190.8 59.21
161.000 190.8 59.24
162.000 190.8 59.21
163.000 190.8 59.27
164.000 190.8 59.23
165.000 190.7 59.23
166.000 190.7 59.23
167.000 190.6 59.18
168.000 190.4 59.26
169.000 190.5 59.22
170.000 190.5 59.24
171.000 190.4 59.21
172.000 190.4 59.20
173.000 190.2 59.29
174.000 190.0 59.26
175.000 189.8 59.19
176.000 189.8 59.23
177.000 189.5 59.13
178.000 189.4 59.08
179.000 189.4 59.08
180.000 189.0 59.08
181.000 188.6 59.18
182.000 188.4 59.09
183.000 188.3 59.25
184.000 187.9 59.22
185.000 187.6 59.17
186.000 187.4 59.29
187.000 187.5 59.21
188.000 187.0 59.28
189.000 186.6 59.16
190.000 186.3 59.17
191.000 185.9 59.19
192.000 185.6 59.09
193.000 185.3 59.05
194.000 185.0 59.11
195.000 184.4 59.09
196.000 184.4 59.18
197.000 184.0 59.20
198.000 183.5 59.06
199.000 183.1 59.08
200.000 182.6 59.02
201.000 182.2 59.13
202.000 181.9 59.13
203.000 181.6 59.10
204.000 181.4 59.17
205.000 180.8 59.04
206.000 180.3 59.12
207.000 179.8 59.10
208.000 179.6 59.08
209.000 179.3 59.12
210.000 178.6 58.99
211.000 178.1 59.06
212.000 177.6 58.94
213.000 177.4 59.07
214.000 177.1 59.17
215.000 176.6 59.14
216.000 176.2 58.97
217.000 175.5 58.88
218.000 175.0 58.87
219.000 174.5 58.92
220.000 173.9 58.99
221.000 173.6 59.01
222.000 173.2 58.92
223.000 172.5 58.97
224.000 172.1 59.05
225.000 171.6 58.91
226.000 171.2 58.98
227.000 170.5 58.92
228.000 170.1 59.03
229.000 169.6 58.92
230.000 169.0 58.84
231.000 168.5 58.82
232.000 168.1 58.97
233.000 167.4 58.82
234.000 166.6 58.95
235.000 166.2 58.96
236.000 165.6 58.84
237.000 165.2 59.03
238.000 164.5 58.84
239.000 163.9 58.87
240.000 163.4 58.66
241.000 162.9 58.87
242.000 162.3 59.04
243.000 161.7 58.90
244.000 161.3 59.07
245.000 160.6 58.81
246.000 160.2 58.76
247.000 159.5 58.76
248.000 159.1 58.80
249.000 158.3 58.87
250.000 157.6 58.71
251.000 157.4 58.91
252.000 156.8 58.93
253.000 156.2 58.80
254.000 155.5 58.76
255.000 154.9 58.90
256.000 154.4 58.78
257.000 154.0 58.83
258.000 153.3 58.72
259.000 153.0 58.92
260.000 152.2 58.89
261.000 151.5 58.70
262.000 151.0 58.80
263.000 150.3 58.68
264.000 149.9 58.82
265.000 149.4 58.76
266.000 148.9 58.82
267.000 148.2 58.90
268.000 147.5 58.64
269.000 147.2 58.80
270.000 146.4 58.77
271.000 146.0 58.82
272.000 145.5 58.76
273.000 144.9 58.81
274.000 144.3 58.72
275.000 144.0 58.60
276.000 143.6 58.57
277.000 143.0 58.50
278.000 142.2 58.34
279.000 141.7 58.40
280.000 141.3 58.52
281.000 140.6 58.35
282.000 140.2 58.40
283.000 139.6 58.38
284.000 139.2 58.33
285.000 138.6 58.33
286.000 138.1 58.20
287.000 137.7 58.29
288.000 137.3 58.28
289.000 136.6 58.30
290.000 136.3 58.36
291.000 135.8 58.31
292.000 135.4 58.30
293.000 135.1 58.28
294.000 134.6 58.32
295.000 134.2 58.36
296.000 133.7 58.18
297.000 133.4 58.26
298.000 132.9 58.22
299.000 132.4 58.30
300.000 132.1 58.19
301.000 131.6 58.13
302.000 131.3 58.35
303.000 130.9 58.33
304.000 130.4 58.32
305.000 130.0 58.39
306.000 129.7 58.29
307.000 129.4 58.21
308.000 129.2 58.27
309.000 128.6 58.15
310.000 128.4 58.14
311.000 128.2 58.16
312.000 127.7 58.24
313.000 127.5 58.29
314.000 127.1 58.22
315.000 126.8 58.19
316.000 126.5 58.04
317.000 126.3 58.21
318.000 125.9 58.10
319.000 125.6 58.06
320.000 125.6 58.15
321.000 125.2 58.16
322.000 125.0 58.12
323.000 124.6 58.08
324.000 124.6 58.07
325.000 124.5 58.14
326.000 124.4 58.07
327.000 124.2 58.17
328.000 123.8 58.11
329.000 123.7 58.10
330.000 123.6 58.17
331.000 123.6 58.12
332.000 123.6 58.14
333.000 123.5 58.11
334.000 123.5 58.10
335.000 123.5 58.21
336.000 123.0 58.30
337.000 122.7 58.22
338.000 122.6 58.29
339.000 122.6 58.19
340.000 122.5 58.21
341.000 122.5 58.18
342.000 122.5 58.17
343.000 122.5 58.20
344.000 122.5 58.16
345.000 122.4 58.20
346.000 122.4 58.18
347.000 122.4 58.20
348.000 122.4 58.19
349.000 122.5 58.18
350.000 122.5 58.17
351.000 122.5 58.18
352.000 122.6 58.18
353.000 122.6 58.18
354.000 122.6 58.20
355.000 122.7 58.27
356.000 122.8 58.22
357.000 122.9 58.20
358.000 122.9 58.23
359.000 123.1 58.21
360.000 123.3 58.26
361.000 123.4 58.18
362.000 123.6 58.10
363.000 123.9 58.20
364.000 123.8 58.17
365.000 123.9 58.18
366.000 124.0 58.19
367.000 124.1 58.15
368.000 124.4 58.16
369.000 124.7 58.05
370.000 125.1 58.23
371.000 125.3 58.03
372.000 125.6 58.11
373.000 125.9 58.26
374.000 126.1 58.29
375.000 126.2 58.43
376.000 126.4 58.21
377.000 126.9 58.21
378.000 127.1 58.22
379.000 127.4 57.98
380.000 127.8 58.19
381.000 128.1 58.30
382.000 128.4 58.19
383.000 128.7 58.28
384.000 129.2 58.30
385.000 129.5 58.19
386.000 129.9 58.31
387.000 130.2 58.33
388.000 130.5 58.28
389.000 131.0 58.29
390.000 131.2 58.23
391.000 131.6 58.18
392.000 132.0 58.30
393.000 132.3 58.37
394.000 132.5 58.05
395.000 133.1 58.24
396.000 133.5 58.29
397.000 134.0 58.29
398.000 134.4 58.30
399.000 135.1 58.35
400.000 135.3 58.28
401.000 135.9 58.32
402.000 136.3 58.25
403.000 136.6 58.37
404.000 137.2 58.39
405.000 137.5 58.30
406.000 138.0 58.23
407.000 138.4 58.30
408.000 139.2 58.41
409.000 139.6 58.31
410.000 140.2 58.38
411.000 140.5 58.38
412.000 141.1 58.35
413.000 141.6 58.36
414.000 142.2 58.37
415.000 142.5 58.25
416.000 143.3 58.23
417.000 143.8 58.25
418.000 144.2 58.38
419.000 144.7 58.29
420.000 145.4 58.31
421.000 145.9 58.41
422.000 146.3 58.47
423.000 146.6 58.40
424.000 147.4 58.37
425.000 148.0 58.24
426.000 148.4 58.35
427.000 149.1 58.37
428.000 149.5 58.35
429.000 150.2 58.50
430.000 150.6 58.32
431.000 151.4 58.42
432.000 152.0 58.25
433.000 152.5 58.41
434.000 153.4 58.40
435.000 153.9 58.39
436.000 154.2 58.39
437.000 154.6 58.46
438.000 155.3 58.38
439.000 155.7 58.48
440.000 156.3 58.58
441.000 156.7 58.61
442.000 157.4 58.70
443.000 158.1 58.77
444.000 158.6 58.95
445.000 159.2 58.70
446.000 159.7 58.74
447.000 160.3 58.82
448.000 160.6 58.79
449.000 161.3 58.83
450.000 161.9 58.89
451.000 162.3 59.04
452.000 162.9 58.80
453.000 163.6 58.84
454.000 164.1 58.94
455.000 164.4 58.68
456.000 165.2 58.91
457.000 165.7 58.84
458.000 166.3 58.86
459.000 166.8 58.78
460.000 167.3 59.00
461.000 167.8 58.97
462.000 168.3 58.82
463.000 168.9 58.78
464.000 169.5 58.95
465.000 170.1 59.03
466.000 170.4 58.96
467.000 171.2 58.97
468.000 171.7 59.07
469.000 171.9 58.94
470.000 172.4 58.96
471.000 173.3 59.12
472.000 173.6 59.12
473.000 174.1 58.97
474.000 174.4 58.93
475.000 175.1 58.89
476.000 175.7 58.96
477.000 176.2 59.01
478.000 176.4 59.02
479.000 177.0 59.03
480.000 177.4 59.14
481.000 177.9 58.98
482.000 178.2 59.02
483.000 178.5 59.01
484.000 179.1 58.97
485.000 179.6 59.00
486.000 179.8 58.98
487.000 180.2 59.01
488.000 180.3 59.04
489.000 181.1 59.17
490.000 181.6 59.08
491.000 182.0 59.05
492.000 182.4 59.21
493.000 183.0 59.23
494.000 183.3 59.01
495.000 183.5 59.01
496.000 183.9 59.01
497.000 184.2 59.14
498.000 184.6 59.09
499.000 185.1 59.27
500.000 185.3 59.19
501.000 185.6 59.10
502.000 185.9 59.17
503.000 186.2 59.13
504.000 186.3 59.09
505.000 186.7 59.13
506.000 187.3 59.13
507.000 187.5 59.24
508.000 187.7 59.12
509.000 187.9 59.14
510.000 188.2 59.17
511.000 188.6 59.11
512.000 188.7 59.11
513.000 189.0 59.13
514.000 189.2 59.14
515.000 189.3 59.14
516.000 189.5 59.21
517.000 189.7 59.20
518.000 190.0 59.22
519.000 190.3 59.23
520.000 190.3 59.21
521.000 190.3 59.02
522.000 190.6 59.16
523.000 190.8 59.06
524.000 190.9 59.18
525.000 190.9 59.22
526.000 191.0 59.18
527.000 191.1 59.32
528.000 191.2 59.33
529.000 191.1 59.30
530.000 191.2 59.27
531.000 191.2 59.31
532.000 191.2 59.27
533.000 191.3 59.24
534.000 191.3 59.30
535.000 191.3 59.31
536.000 191.3 59.23
537.000 191.3 59.29
538.000 191.3 59.27
539.000 191.3 59.27
540.000 191.2 59.46
541.000 191.2 59.42
542.000 191.1 59.41
543.000 191.1 59.38
544.000 190.9 59.36
545.000 191.0 59.34
546.000 190.9 59.25
547.000 190.8 59.24
548.000 190.8 59.19
549.000 190.7 59.23
550.000 190.6 59.21
551.000 190.5 59.24
552.000 190.2 59.34
553.000 189.8 59.25
554.000 189.7 59.19
555.000 189.5 59.24
556.000 189.5 59.13
557.000 189.3 59.13
558.000 188.9 59.14
559.000 188.7 59.11
560.000 188.6 59.19
561.000 188.3 59.20
562.000 187.8 59.12
563.000 187.7 59.17
564.000 187.4 59.14
565.000 187.1 59.17
566.000 186.6 59.07
567.000 186.4 59.11
568.000 186.3 59.06
569.000 186.0 59.13
570.000 185.6 59.15
571.000 185.5 59.22
572.000 185.2 59.24
573.000 184.9 59.15
574.000 184.4 59.02
575.000 184.1 59.05
576.000 183.6 59.12
577.000 183.1 59.07
578.000 182.7 59.01
579.000 182.3 59.13
580.000 181.9 59.19
581.000 181.7 59.16
582.000 181.4 59.15
583.000 181.0 59.10
584.000 180.3 59.20
585.000 179.7 59.17
586.000 179.6 59.09
587.000 179.4 59.06
588.000 178.9 59.06
589.000 178.2 59.05
590.000 177.8 59.06
591.000 177.4 59.00
592.000 177.0 59.10
593.000 176.5 59.10
594.000 176.3 59.15
595.000 175.7 58.93
596.000 175.4 58.97
597.000 174.9 58.94
598.000 174.4 58.96
599.000 174.0 59.03
600.000 173.4 59.27
