 Masse A  
t x y 
0.000 -21.58 57.43
1.000 -20.93 57.38
2.000 -20.13 57.39
3.000 -19.66 57.32
4.000 -19.18 57.48
5.000 -18.42 57.29
6.000 -17.77 57.41
7.000 -17.06 57.38
8.000 -16.08 57.32
9.000 -15.61 57.38
10.000 -15.07 57.35
11.000 -14.26 57.51
12.000 -13.84 57.27
13.000 -13.13 57.61
14.000 -12.41 57.41
15.000 -11.93 57.26
16.000 -11.18 57.43
17.000 -10.52 57.53
18.000 -9.936 57.37
19.000 -9.015 57.49
20.000 -8.477 57.40
21.000 -7.930 57.38
22.000 -7.297 57.49
23.000 -6.720 57.46
24.000 -5.830 57.45
25.000 -5.348 57.47
26.000 -4.706 57.44
27.000 -4.044 57.45
28.000 -3.575 57.50
29.000 -2.934 57.42
30.000 -2.241 57.48
31.000 -1.626 57.48
32.000 -1.067 57.33
33.000 -0.255 57.34
34.000 0.204 57.37
35.000 0.702 57.45
36.000 1.184 57.49
37.000 1.885 57.43
38.000 2.242 57.46
39.000 3.019 57.46
40.000 3.926 57.47
41.000 4.403 57.36
42.000 4.782 57.37
43.000 5.170 57.33
44.000 5.837 57.46
45.000 6.180 57.38
46.000 6.913 57.50
47.000 7.403 57.44
48.000 7.992 57.37
49.000 8.647 57.45
50.000 8.917 57.49
51.000 9.487 57.55
52.000 10.15 57.56
53.000 10.67 57.36
54.000 11.01 57.36
55.000 11.75 57.55
56.000 12.13 57.51
57.000 12.74 57.50
58.000 12.94 57.43
59.000 13.51 57.48
60.000 13.77 57.52
61.000 14.23 57.51
62.000 14.72 57.57
63.000 15.05 57.61
64.000 15.82 57.60
65.000 16.12 57.45
66.000 16.39 57.47
67.000 16.58 57.57
68.000 17.04 57.45
69.000 17.45 57.47
70.000 17.80 57.51
71.000 18.13 57.46
72.000 18.54 57.61
73.000 18.85 57.59
74.000 19.05 57.48
75.000 19.66 57.48
76.000 19.77 57.49
77.000 19.99 57.48
78.000 20.38 57.55
79.000 20.55 57.64
80.000 20.90 57.62
81.000 20.97 57.55
82.000 21.52 57.58
83.000 21.63 57.53
84.000 21.89 57.52
85.000 22.00 57.41
86.000 22.50 57.51
87.000 22.48 57.53
88.000 22.59 57.52
89.000 22.71 57.49
90.000 23.09 57.45
91.000 23.32 57.43
92.000 23.45 57.44
93.000 23.52 57.51
94.000 23.52 57.52
95.000 23.61 57.51
96.000 23.82 57.55
97.000 23.80 57.55
98.000 23.84 57.60
99.000 23.88 57.63
100.000 23.92 57.72
101.000 24.14 57.69
102.000 24.23 57.71
103.000 24.20 57.68
104.000 24.24 57.66
105.000 24.31 57.71
106.000 24.31 57.70
107.000 24.26 57.72
108.000 24.37 57.70
109.000 24.32 57.71
110.000 24.30 57.69
111.000 24.29 57.71
112.000 24.23 57.72
113.000 24.18 57.70
114.000 24.17 57.69
115.000 24.13 57.69
116.000 24.10 57.65
117.000 24.04 57.58
118.000 23.95 57.53
119.000 23.89 57.51
120.000 23.44 57.45
121.000 23.42 57.45
122.000 23.30 57.41
123.000 23.00 57.48
124.000 23.01 57.41
125.000 22.86 57.59
126.000 22.36 57.52
127.000 22.28 57.48
128.000 22.18 57.46
129.000 21.88 57.55
130.000 21.60 57.58
131.000 21.22 57.56
132.000 21.03 57.54
133.000 20.90 57.66
134.000 20.28 57.62
135.000 20.19 57.42
136.000 20.04 57.43
137.000 19.81 57.44
138.000 19.35 57.40
139.000 19.04 57.49
140.000 18.98 57.53
141.000 18.55 57.56
142.000 18.00 57.50
143.000 17.86 57.54
144.000 17.33 57.50
145.000 17.01 57.45
146.000 16.59 57.65
147.000 16.28 57.51
148.000 16.07 57.48
149.000 15.82 57.68
150.000 14.96 57.72
151.000 14.71 57.55
152.000 14.12 57.45
153.000 13.70 57.46
154.000 13.26 57.42
155.000 13.09 57.45
156.000 12.69 57.55
157.000 12.16 57.52
158.000 11.76 57.58
159.000 11.09 57.33
160.000 10.71 57.39
161.000 10.22 57.60
162.000 9.834 57.54
163.000 9.037 57.58
164.000 8.642 57.50
165.000 8.212 57.46
166.000 7.883 57.57
167.000 7.104 57.44
168.000 6.519 57.36
169.000 6.043 57.46
170.000 5.604 57.39
171.000 4.920 57.47
172.000 4.346 57.30
173.000 3.998 57.48
174.000 3.616 57.51
175.000 2.763 57.47
176.000 2.106 57.47
177.000 1.690 57.49
178.000 1.143 57.51
179.000 0.620 57.51
180.000 9.813E-2 57.38
181.000 -0.361 57.36
182.000 -1.131 57.48
183.000 -1.616 57.50
184.000 -2.285 57.49
185.000 -2.853 57.41
186.000 -3.464 57.52
187.000 -3.942 57.50
188.000 -4.419 57.49
189.000 -5.063 57.39
190.000 -5.643 57.45
191.000 -6.086 57.61
192.000 -7.017 57.40
193.000 -7.573 57.44
194.000 -8.041 57.34
195.000 -8.590 57.39
196.000 -9.247 57.43
197.000 -9.930 57.40
198.000 -10.32 57.46
199.000 -11.04 57.33
200.000 -11.80 57.30
201.000 -12.19 57.42
202.000 -12.99 57.38
203.000 -13.62 57.34
204.000 -13.99 57.28
205.000 -14.60 57.50
206.000 -15.21 57.35
207.000 -15.85 57.36
