 Masse A  
t x y 
0.000 -22.90 58.76
1.000 -22.92 58.75
2.000 -22.95 58.74
3.000 -23.01 58.76
4.000 -22.99 58.77
5.000 -23.06 58.71
6.000 -23.09 58.77
7.000 -23.12 58.73
8.000 -23.15 58.73
9.000 -23.19 58.88
10.000 -23.22 58.87
11.000 -23.21 58.90
12.000 -23.28 58.95
13.000 -23.24 58.89
14.000 -23.28 58.91
15.000 -23.25 58.81
16.000 -23.29 58.90
17.000 -23.36 58.82
18.000 -23.38 58.84
19.000 -23.52 58.90
20.000 -23.87 58.85
21.000 -24.03 58.88
22.000 -24.14 58.84
23.000 -24.15 58.85
24.000 -24.34 58.86
25.000 -24.35 58.83
26.000 -24.42 58.89
27.000 -24.71 58.87
28.000 -24.77 58.87
29.000 -24.82 58.86
30.000 -24.81 58.86
31.000 -24.81 58.87
32.000 -24.87 58.88
33.000 -24.95 58.85
34.000 -24.98 58.86
35.000 -24.99 58.82
36.000 -25.11 58.87
37.000 -25.04 58.85
38.000 -25.10 58.81
39.000 -25.14 58.84
40.000 -25.16 58.83
41.000 -25.21 58.81
42.000 -25.21 58.83
43.000 -25.23 58.77
44.000 -25.27 58.78
45.000 -25.26 58.73
46.000 -25.31 58.75
47.000 -25.33 58.73
48.000 -25.49 58.72
49.000 -25.84 58.72
50.000 -26.00 58.71
51.000 -25.96 58.73
52.000 -26.02 58.75
53.000 -26.01 58.76
54.000 -26.07 58.77
55.000 -26.08 58.76
56.000 -26.15 58.75
57.000 -26.22 58.78
58.000 -26.23 58.73
59.000 -26.24 58.72
60.000 -26.35 58.81
61.000 -26.39 58.70
62.000 -26.33 58.76
63.000 -26.38 58.72
64.000 -26.46 58.83
65.000 -26.77 58.79
66.000 -26.91 58.73
67.000 -26.90 58.80
68.000 -26.98 58.71
69.000 -27.03 58.74
70.000 -27.03 58.71
71.000 -27.09 58.67
72.000 -27.16 58.72
73.000 -27.14 58.68
74.000 -27.24 58.63
75.000 -27.21 58.67
76.000 -27.29 58.64
77.000 -27.28 58.64
78.000 -27.27 58.63
79.000 -27.33 58.63
80.000 -27.38 58.66
81.000 -27.44 58.68
82.000 -27.78 58.70
83.000 -27.95 58.68
84.000 -28.10 58.67
85.000 -28.01 58.68
86.000 -28.09 58.71
87.000 -28.07 58.69
88.000 -28.06 58.73
89.000 -28.13 58.69
90.000 -28.16 58.71
91.000 -28.16 58.71
92.000 -28.16 58.73
93.000 -28.17 58.72
94.000 -28.15 58.70
95.000 -28.21 58.70
96.000 -28.29 58.74
97.000 -28.25 58.75
98.000 -28.22 58.76
99.000 -28.30 58.76
100.000 -28.35 58.79
101.000 -28.35 58.74
102.000 -28.35 58.76
103.000 -28.39 58.77
104.000 -28.39 58.77
105.000 -28.41 58.86
106.000 -28.72 58.83
107.000 -28.79 58.80
108.000 -28.84 58.87
109.000 -28.86 58.82
110.000 -28.84 58.84
111.000 -28.87 58.83
112.000 -28.86 58.84
113.000 -28.87 58.81
114.000 -28.83 58.82
115.000 -28.86 58.85
116.000 -28.92 58.77
117.000 -28.92 58.81
118.000 -28.88 58.82
119.000 -28.88 58.82
120.000 -28.96 58.79
121.000 -28.94 58.82
122.000 -28.97 58.78
123.000 -28.95 58.78
124.000 -28.97 58.77
125.000 -28.97 58.82
126.000 -28.96 58.79
127.000 -28.96 58.78
128.000 -28.99 58.78
129.000 -28.99 58.78
130.000 -28.99 58.80
131.000 -28.98 58.80
132.000 -28.98 58.78
133.000 -28.97 58.78
134.000 -28.99 58.78
135.000 -28.96 58.80
136.000 -28.96 58.78
137.000 -28.94 58.78
138.000 -28.95 58.79
139.000 -28.95 58.78
140.000 -28.92 58.83
141.000 -28.93 58.80
142.000 -28.92 58.80
143.000 -28.87 58.81
144.000 -28.89 58.85
145.000 -28.87 58.84
146.000 -28.88 58.84
147.000 -28.88 58.82
148.000 -28.87 58.89
149.000 -28.85 58.82
150.000 -28.87 58.81
151.000 -28.80 58.82
152.000 -28.82 58.82
153.000 -28.76 58.84
154.000 -28.77 58.80
155.000 -28.71 58.83
156.000 -28.63 58.84
157.000 -28.74 58.83
158.000 -28.70 58.79
159.000 -28.70 58.81
160.000 -28.66 58.82
161.000 -28.63 58.82
162.000 -28.66 58.79
163.000 -28.60 58.81
164.000 -28.58 58.77
165.000 -28.57 58.81
166.000 -28.51 58.78
167.000 -28.54 58.79
168.000 -28.44 58.75
169.000 -28.44 58.78
170.000 -28.50 58.75
171.000 -28.44 58.79
172.000 -28.44 58.75
173.000 -28.38 58.65
174.000 -28.08 58.69
175.000 -28.01 58.69
176.000 -27.94 58.69
177.000 -27.94 58.69
178.000 -27.86 58.69
179.000 -27.87 58.66
180.000 -27.82 58.67
181.000 -27.80 58.69
182.000 -27.77 58.68
183.000 -27.68 58.69
184.000 -27.62 58.71
185.000 -27.64 58.71
186.000 -27.54 58.78
187.000 -27.55 58.76
188.000 -27.55 58.77
189.000 -27.39 58.67
190.000 -27.12 58.71
191.000 -27.03 58.73
192.000 -26.92 58.74
193.000 -26.91 58.73
194.000 -26.86 58.75
195.000 -26.83 58.73
196.000 -26.80 58.78
197.000 -26.78 58.74
198.000 -26.72 58.79
199.000 -26.74 58.76
200.000 -26.68 58.75
201.000 -26.63 58.79
202.000 -26.57 58.81
203.000 -26.55 58.83
204.000 -26.39 58.78
205.000 -26.16 58.77
206.000 -26.08 58.74
207.000 -26.01 58.73
208.000 -25.99 58.73
209.000 -26.01 58.76
210.000 -25.93 58.72
211.000 -25.94 58.72
212.000 -25.79 58.73
213.000 -25.76 58.73
214.000 -25.72 58.82
215.000 -25.72 58.80
216.000 -25.62 58.95
217.000 -25.53 58.92
218.000 -25.54 58.87
219.000 -25.49 58.92
220.000 -25.45 58.89
221.000 -25.44 58.91
222.000 -25.40 58.82
223.000 -25.11 58.82
224.000 -25.06 58.86
225.000 -24.97 58.81
226.000 -24.96 58.85
227.000 -24.90 58.86
228.000 -24.86 58.93
229.000 -24.84 58.89
230.000 -24.82 58.87
231.000 -24.82 58.86
232.000 -24.77 58.87
233.000 -24.75 58.87
234.000 -24.77 58.88
235.000 -24.63 58.85
236.000 -24.64 58.88
237.000 -24.61 58.87
238.000 -24.53 58.88
239.000 -24.44 58.90
240.000 -24.36 58.89
241.000 -24.02 58.85
242.000 -23.96 58.92
243.000 -23.85 58.86
244.000 -23.79 58.91
245.000 -23.75 58.90
246.000 -23.77 58.87
247.000 -23.73 58.89
248.000 -23.66 58.87
249.000 -23.64 58.94
250.000 -23.66 58.89
251.000 -23.68 58.88
252.000 -23.54 58.86
253.000 -23.50 58.84
254.000 -23.52 58.87
255.000 -23.44 58.84
256.000 -23.43 58.82
257.000 -23.38 58.80
258.000 -23.08 58.76
259.000 -23.02 58.81
260.000 -22.93 58.79
261.000 -22.94 58.78
262.000 -22.91 58.78
263.000 -22.85 58.79
264.000 -22.71 58.82
265.000 -22.74 58.87
266.000 -22.72 58.83
267.000 -22.71 58.89
268.000 -22.65 58.85
269.000 -22.61 58.89
270.000 -22.64 58.89
271.000 -22.61 58.86
272.000 -22.56 58.88
273.000 -22.56 58.85
274.000 -22.52 58.87
275.000 -22.48 58.85
276.000 -22.44 58.81
277.000 -22.34 58.77
278.000 -22.10 58.75
279.000 -22.05 58.79
280.000 -22.01 58.79
281.000 -22.01 58.77
