 Masse A  
t x y 
0.000 -17.93 57.43
1.000 -17.57 57.47
2.000 -17.42 57.51
3.000 -16.71 57.14
4.000 -16.27 57.51
5.000 -15.83 57.35
6.000 -15.44 57.54
7.000 -15.12 57.67
8.000 -14.71 57.30
9.000 -14.19 57.52
10.000 -13.91 57.39
11.000 -13.54 57.53
12.000 -12.98 57.77
13.000 -12.54 57.24
14.000 -12.31 57.62
15.000 -11.68 57.46
16.000 -11.22 57.28
17.000 -10.65 57.71
18.000 -10.34 57.32
19.000 -9.976 57.62
20.000 -9.592 57.60
21.000 -9.238 57.34
22.000 -8.627 57.63
23.000 -8.343 57.19
24.000 -7.830 57.51
25.000 -7.536 57.54
26.000 -7.129 57.31
27.000 -6.392 57.79
28.000 -5.938 57.36
29.000 -5.815 57.55
30.000 -5.296 57.48
31.000 -4.819 57.40
32.000 -4.400 57.73
33.000 -4.133 57.49
34.000 -3.741 57.64
35.000 -3.296 57.60
36.000 -2.798 57.33
37.000 -2.334 57.63
38.000 -1.887 57.56
39.000 -1.832 57.54
40.000 -1.482 57.60
41.000 -1.098 57.29
42.000 -0.384 57.67
43.000 4.061E-2 57.26
44.000 0.128 57.37
45.000 0.471 57.83
46.000 0.700 57.34
47.000 1.243 57.84
48.000 1.722 57.49
49.000 1.903 57.20
50.000 2.203 57.77
51.000 2.476 57.32
52.000 2.936 57.47
53.000 3.521 57.61
54.000 3.789 57.48
55.000 4.005 57.59
56.000 4.353 57.15
57.000 4.622 57.53
58.000 5.158 57.46
59.000 5.445 57.34
60.000 5.541 57.79
61.000 5.892 57.19
62.000 6.151 57.60
63.000 6.496 57.56
64.000 6.791 57.17
65.000 7.194 57.82
66.000 7.521 57.34
67.000 7.806 57.48
68.000 7.958 57.57
69.000 8.117 57.40
70.000 8.504 57.90
71.000 8.412 57.32
72.000 8.858 57.49
73.000 9.170 57.80
74.000 9.608 57.18
75.000 9.839 57.80
76.000 10.15 57.25
77.000 10.19 57.47
78.000 10.24 57.59
79.000 10.37 57.31
80.000 10.41 57.76
81.000 10.69 57.46
82.000 11.10 57.50
83.000 11.46 57.61
84.000 11.41 57.44
85.000 11.74 57.60
86.000 11.94 57.54
87.000 12.21 57.57
88.000 12.16 57.62
89.000 12.25 57.32
90.000 12.31 57.75
91.000 12.32 57.52
92.000 12.46 57.52
93.000 12.52 57.69
94.000 12.76 57.39
95.000 13.06 57.57
96.000 13.22 57.57
97.000 13.26 57.51
98.000 13.37 57.67
99.000 13.42 57.48
100.000 13.38 57.62
101.000 13.37 57.59
102.000 13.44 57.55
103.000 13.46 57.66
104.000 13.49 57.52
105.000 13.52 57.65
106.000 13.54 57.61
107.000 13.55 57.57
108.000 13.64 57.63
109.000 13.85 57.43
110.000 13.88 57.62
111.000 13.96 57.57
112.000 13.94 57.49
113.000 13.91 57.66
114.000 13.88 57.46
115.000 13.89 57.59
116.000 13.87 57.53
117.000 13.87 57.47
118.000 13.90 57.60
119.000 13.82 57.51
120.000 13.72 57.43
121.000 13.76 57.53
122.000 13.76 57.44
123.000 13.66 57.56
124.000 13.66 57.40
125.000 13.60 57.48
126.000 13.49 57.63
127.000 13.12 57.47
128.000 12.99 57.56
129.000 12.83 57.42
130.000 12.78 57.44
131.000 12.66 57.50
132.000 12.60 57.41
133.000 12.56 57.64
134.000 12.19 57.56
135.000 12.00 57.48
136.000 11.89 57.61
137.000 11.76 57.41
138.000 11.69 57.54
139.000 11.62 57.47
140.000 11.46 57.55
141.000 10.99 57.57
142.000 10.84 57.46
143.000 10.52 57.60
144.000 10.25 57.55
145.000 10.11 57.35
146.000 9.966 57.58
147.000 9.860 57.29
148.000 9.519 57.54
149.000 9.205 57.52
150.000 8.782 57.46
151.000 8.803 57.80
152.000 8.425 57.35
153.000 8.175 57.53
154.000 7.844 57.48
155.000 7.819 57.30
156.000 7.489 57.65
157.000 6.978 57.52
158.000 6.819 57.37
159.000 6.531 57.61
160.000 6.191 57.27
161.000 5.883 57.45
162.000 5.655 57.48
163.000 5.621 57.33
164.000 5.236 57.55
165.000 4.853 57.39
166.000 4.465 57.43
167.000 4.030 57.46
168.000 3.917 57.49
169.000 3.733 57.63
170.000 3.366 57.35
171.000 2.782 57.41
172.000 2.368 57.64
173.000 1.927 57.37
174.000 1.924 57.54
175.000 1.572 57.53
176.000 1.069 57.51
177.000 0.713 57.63
178.000 0.408 57.26
179.000 2.690E-2 57.68
180.000 -0.178 57.35
181.000 -0.472 57.36
182.000 -0.962 57.68
183.000 -1.462 57.38
184.000 -1.924 57.65
185.000 -2.023 57.53
186.000 -2.387 57.44
187.000 -2.429 57.70
188.000 -3.258 57.43
189.000 -3.690 57.75
190.000 -4.181 57.48
191.000 -4.223 57.58
192.000 -4.497 57.44
193.000 -5.064 57.44
194.000 -5.438 57.68
195.000 -6.052 57.50
196.000 -6.105 57.61
197.000 -6.367 57.37
198.000 -6.827 57.27
199.000 -7.452 57.52
200.000 -7.921 57.38
201.000 -8.184 57.45
202.000 -8.426 57.46
203.000 -8.820 57.42
204.000 -9.480 57.77
205.000 -10.01 57.53
206.000 -10.09 57.61
207.000 -10.39 57.55
208.000 -10.62 57.29
209.000 -11.19 57.69
210.000 -11.59 57.18
211.000 -12.13 57.48
212.000 -12.34 57.44
213.000 -12.64 57.50
214.000 -13.21 57.57
215.000 -13.61 57.46
216.000 -13.94 57.38
217.000 -14.06 57.40
218.000 -14.59 57.49
219.000 -15.14 57.68
220.000 -15.19 57.28
221.000 -15.68 57.51
222.000 -16.15 57.46
223.000 -16.36 57.06
224.000 -16.72 57.48
225.000 -17.26 57.39
226.000 -17.43 57.50
227.000 -17.93 57.55
228.000 -18.41 57.13
229.000 -18.51 57.69
230.000 -19.18 57.40
231.000 -19.29 57.31
232.000 -19.47 57.61
233.000 -20.14 57.13
234.000 -20.34 57.56
235.000 -20.60 57.37
236.000 -21.01 57.33
237.000 -21.42 57.46
238.000 -21.65 57.39
239.000 -21.92 57.49
240.000 -22.25 57.35
241.000 -22.72 57.33
242.000 -22.99 57.62
243.000 -23.28 57.10
244.000 -23.54 57.56
245.000 -24.02 57.42
246.000 -24.11 57.38
247.000 -24.41 57.38
248.000 -24.63 57.32
249.000 -25.08 57.43
250.000 -25.31 57.44
251.000 -25.48 57.65
252.000 -25.96 57.64
253.000 -26.07 57.23
254.000 -26.42 57.38
255.000 -26.70 57.47
256.000 -27.01 57.31
