 Masse A  
t x y 
0.000 -5.818 56.73
1.000 -5.925 56.71
2.000 -5.940 56.74
3.000 -5.945 56.71
4.000 -5.994 56.72
5.000 -6.020 56.69
6.000 -6.075 56.67
7.000 -6.085 56.65
8.000 -6.130 56.64
9.000 -6.234 56.65
10.000 -6.313 56.63
11.000 -6.456 56.82
12.000 -7.034 56.70
13.000 -7.161 56.71
14.000 -7.209 56.68
15.000 -7.210 56.71
16.000 -7.252 56.64
17.000 -7.280 56.65
18.000 -7.318 56.67
19.000 -7.395 56.76
20.000 -7.724 56.68
21.000 -7.857 56.64
22.000 -7.885 56.63
23.000 -7.951 56.63
24.000 -8.126 56.62
25.000 -8.142 56.63
26.000 -8.165 56.67
27.000 -8.192 56.70
28.000 -8.231 56.67
29.000 -8.249 56.70
30.000 -8.277 56.69
31.000 -8.336 56.85
32.000 -8.764 56.78
33.000 -8.947 56.79
34.000 -9.007 56.71
35.000 -9.078 56.72
36.000 -9.230 56.64
37.000 -9.192 56.65
38.000 -9.219 56.61
39.000 -9.347 56.77
40.000 -9.675 56.72
41.000 -9.800 56.72
42.000 -9.792 56.74
43.000 -9.856 56.78
44.000 -9.849 56.75
45.000 -10.26 56.64
46.000 -10.14 56.67
47.000 -10.11 56.70
48.000 -10.55 56.77
49.000 -10.75 56.73
50.000 -10.86 56.71
51.000 -11.03 56.71
52.000 -11.09 56.66
53.000 -11.24 56.71
54.000 -11.26 56.66
55.000 -11.29 56.67
56.000 -11.27 56.68
57.000 -11.29 56.68
58.000 -11.32 56.90
59.000 -11.71 56.82
60.000 -12.08 56.76
61.000 -12.02 56.73
62.000 -12.15 56.70
63.000 -12.25 56.68
64.000 -12.26 56.69
65.000 -12.24 56.67
66.000 -12.29 56.67
67.000 -12.38 56.87
68.000 -12.76 56.81
69.000 -12.96 56.69
70.000 -13.02 56.73
71.000 -13.11 56.70
72.000 -13.25 56.63
73.000 -13.17 56.63
74.000 -13.21 56.60
75.000 -13.46 56.77
76.000 -13.72 56.72
77.000 -13.82 56.72
78.000 -13.91 56.77
79.000 -13.98 56.74
80.000 -14.02 56.69
81.000 -14.10 56.65
82.000 -14.11 56.63
83.000 -14.11 56.64
84.000 -14.31 56.64
85.000 -14.32 57.00
86.000 -14.65 56.90
87.000 -14.79 56.73
88.000 -14.88 56.76
89.000 -14.90 56.73
90.000 -14.93 56.67
91.000 -14.95 56.66
92.000 -15.06 56.67
93.000 -15.11 56.69
94.000 -15.18 56.71
95.000 -15.16 56.69
96.000 -15.37 56.77
97.000 -15.69 56.75
98.000 -15.76 56.76
99.000 -15.84 56.70
100.000 -15.97 56.65
101.000 -15.95 56.63
102.000 -15.98 56.63
103.000 -16.03 56.62
104.000 -16.09 56.62
105.000 -16.13 56.58
106.000 -16.13 56.57
107.000 -16.10 56.59
108.000 -16.28 56.63
109.000 -16.21 56.66
110.000 -16.24 56.64
111.000 -16.29 56.66
112.000 -16.32 56.83
113.000 -16.63 56.78
114.000 -16.76 56.76
115.000 -16.84 56.71
116.000 -16.86 56.74
117.000 -16.92 56.73
118.000 -16.98 56.74
119.000 -16.99 56.71
120.000 -17.10 56.67
121.000 -17.13 56.71
122.000 -17.11 56.70
123.000 -17.10 56.68
124.000 -17.08 56.71
125.000 -17.16 56.70
126.000 -17.18 56.71
127.000 -17.23 56.72
128.000 -17.27 56.67
129.000 -17.28 56.70
130.000 -17.21 56.69
131.000 -17.23 56.74
132.000 -17.32 56.88
133.000 -17.63 56.81
134.000 -17.70 56.81
135.000 -17.70 56.78
136.000 -17.72 56.77
137.000 -17.71 56.80
138.000 -17.72 56.79
139.000 -17.69 56.80
140.000 -17.71 56.79
141.000 -17.71 56.81
142.000 -17.73 56.78
143.000 -17.74 56.77
144.000 -17.83 56.79
145.000 -17.79 56.77
146.000 -17.77 56.76
147.000 -17.76 56.78
148.000 -17.73 56.77
149.000 -17.73 56.78
150.000 -17.75 56.78
151.000 -17.72 56.80
152.000 -17.70 56.82
153.000 -17.70 56.80
154.000 -17.70 56.81
155.000 -17.72 56.82
156.000 -17.73 56.78
157.000 -17.69 56.81
158.000 -17.69 56.80
159.000 -17.69 56.78
160.000 -17.68 56.81
161.000 -17.70 56.79
162.000 -17.63 56.79
163.000 -17.65 56.76
164.000 -17.58 56.78
165.000 -17.57 56.76
166.000 -17.56 56.75
167.000 -17.55 56.76
168.000 -17.42 56.80
169.000 -17.42 56.79
170.000 -17.43 56.77
171.000 -17.34 56.78
172.000 -17.30 56.69
173.000 -16.96 56.73
174.000 -16.89 56.75
175.000 -16.82 56.74
176.000 -16.78 56.75
177.000 -16.73 56.75
178.000 -16.69 56.70
179.000 -16.62 56.73
180.000 -16.48 56.81
181.000 -16.53 56.75
182.000 -16.42 56.74
183.000 -16.45 56.74
184.000 -16.39 56.76
185.000 -16.37 56.76
186.000 -16.38 56.75
187.000 -16.28 56.62
188.000 -15.90 56.69
189.000 -15.81 56.73
190.000 -15.70 56.76
191.000 -15.66 56.75
192.000 -15.52 56.79
193.000 -15.58 56.74
194.000 -15.49 56.81
195.000 -15.31 56.66
196.000 -15.07 56.65
197.000 -14.98 56.69
198.000 -14.92 56.70
199.000 -14.85 56.76
200.000 -14.80 56.79
201.000 -14.77 56.79
202.000 -14.69 56.91
203.000 -14.67 56.85
204.000 -14.55 56.84
205.000 -14.50 56.91
206.000 -14.47 56.80
207.000 -14.42 56.84
208.000 -14.30 56.62
209.000 -13.98 56.72
210.000 -13.80 56.78
211.000 -13.78 56.74
212.000 -13.70 56.83
213.000 -13.66 56.72
214.000 -13.44 56.80
215.000 -13.46 56.82
216.000 -13.36 56.83
217.000 -13.33 56.84
218.000 -13.25 56.71
219.000 -12.86 56.77
220.000 -12.68 56.80
221.000 -12.66 56.82
222.000 -12.62 56.84
223.000 -12.51 56.83
224.000 -12.49 56.84
225.000 -12.39 56.85
226.000 -12.31 56.70
227.000 -11.91 56.76
228.000 -11.79 56.81
229.000 -11.78 56.77
230.000 -11.76 56.80
231.000 -11.70 56.76
232.000 -11.68 56.79
233.000 -11.54 56.76
234.000 -11.52 56.79
235.000 -11.44 56.79
236.000 -11.28 56.68
237.000 -10.82 56.69
238.000 -10.35 56.73
239.000 -10.40 56.71
240.000 -10.20 56.71
241.000 -10.04 56.72
242.000 -9.953 56.65
243.000 -9.918 56.68
244.000 -9.855 56.72
245.000 -9.772 56.73
246.000 -9.756 56.67
247.000 -9.677 56.72
248.000 -9.577 56.72
249.000 -9.557 56.77
250.000 -9.545 56.79
251.000 -9.410 56.78
252.000 -9.127 56.83
253.000 -8.822 56.87
254.000 -8.697 56.81
255.000 -8.606 56.80
256.000 -8.607 56.82
257.000 -8.570 56.81
258.000 -8.482 56.80
259.000 -8.409 56.77
260.000 -8.283 56.59
261.000 -7.991 56.62
262.000 -7.916 56.61
263.000 -7.779 56.67
264.000 -7.684 56.67
265.000 -7.638 56.70
266.000 -7.622 56.79
267.000 -7.595 56.78
268.000 -7.523 56.81
269.000 -7.442 56.81
270.000 -7.308 56.70
271.000 -6.917 56.77
272.000 -6.759 56.79
273.000 -6.638 56.80
274.000 -6.542 56.77
275.000 -6.522 56.76
276.000 -6.265 56.65
277.000 -6.055 56.67
278.000 -5.964 56.73
279.000 -5.931 56.74
280.000 -5.954 56.74
281.000 -5.897 56.80
282.000 -5.870 56.80
283.000 -5.777 56.89
284.000 -5.758 56.86
285.000 -5.640 56.90
286.000 -5.575 56.88
287.000 -5.510 56.94
288.000 -5.224 56.80
289.000 -4.992 56.86
290.000 -4.934 56.86
291.000 -4.850 56.85
292.000 -4.790 56.87
293.000 -4.747 56.87
294.000 -4.682 56.83
295.000 -4.658 56.85
296.000 -4.595 56.82
297.000 -4.602 56.83
298.000 -4.532 56.86
299.000 -4.468 56.87
300.000 -4.264 56.61
301.000 -4.092 56.65
302.000 -3.975 56.70
303.000 -3.942 56.67
304.000 -3.931 56.71
305.000 -3.902 56.70
306.000 -3.842 56.70
307.000 -3.845 56.71
308.000 -3.800 56.79
309.000 -3.796 56.82
310.000 -3.772 56.83
311.000 -3.762 56.83
312.000 -3.685 56.88
313.000 -3.707 56.91
314.000 -3.698 56.91
315.000 -3.661 56.86
316.000 -3.549 56.90
317.000 -3.583 56.88
318.000 -3.556 56.86
319.000 -3.563 56.91
320.000 -3.502 56.95
321.000 -3.459 56.95
322.000 -3.487 56.91
323.000 -3.478 56.92
324.000 -3.359 56.86
325.000 -3.381 56.87
326.000 -3.373 56.89
327.000 -3.392 56.89
328.000 -3.330 56.86
329.000 -3.321 56.86
330.000 -3.291 56.68
331.000 -2.980 56.74
332.000 -2.893 56.72
333.000 -2.894 56.74
334.000 -2.887 56.74
335.000 -2.875 56.72
336.000 -2.852 56.71
337.000 -2.874 56.73
338.000 -2.858 56.75
339.000 -2.866 56.73
340.000 -2.870 56.73
341.000 -2.853 56.74
342.000 -2.881 56.71
343.000 -2.866 56.74
344.000 -2.872 56.73
345.000 -2.908 56.72
346.000 -2.905 56.75
347.000 -2.896 56.74
348.000 -2.972 56.73
349.000 -2.946 56.75
350.000 -2.927 56.74
351.000 -2.944 56.77
352.000 -2.964 56.77
353.000 -2.946 56.77
354.000 -2.959 56.77
355.000 -2.960 56.80
356.000 -2.982 56.85
357.000 -2.986 56.81
358.000 -2.988 56.84
359.000 -3.005 56.82
360.000 -3.125 56.84
361.000 -3.147 56.83
362.000 -3.179 56.80
363.000 -3.173 56.82
364.000 -3.156 56.83
365.000 -3.289 56.78
366.000 -3.207 56.83
367.000 -3.258 56.76
368.000 -3.255 56.79
369.000 -3.266 56.73
370.000 -3.340 56.86
371.000 -3.765 56.79
372.000 -3.848 56.73
373.000 -3.907 56.71
374.000 -3.883 56.73
375.000 -3.957 56.71
376.000 -3.974 56.69
377.000 -3.978 56.65
378.000 -4.033 56.62
379.000 -4.036 56.65
380.000 -4.060 56.64
381.000 -4.105 56.63
382.000 -4.129 56.61
383.000 -4.163 56.66
384.000 -4.198 56.68
385.000 -4.333 56.95
386.000 -4.645 56.87
387.000 -4.771 56.90
388.000 -4.910 56.83
389.000 -4.912 56.89
390.000 -4.958 56.82
391.000 -5.017 56.77
392.000 -5.085 56.73
393.000 -5.096 56.70
394.000 -5.233 56.71
395.000 -5.332 56.94
396.000 -5.703 56.83
397.000 -5.768 56.80
398.000 -5.844 56.78
399.000 -5.829 56.78
400.000 -5.878 56.77
401.000 -5.918 56.73
402.000 -5.946 56.72
403.000 -5.984 56.72
404.000 -6.001 56.70
405.000 -6.077 56.65
406.000 -6.101 56.65
407.000 -6.168 56.65
408.000 -6.419 56.84
409.000 -6.824 56.75
410.000 -7.019 56.74
411.000 -7.157 56.70
412.000 -7.115 56.72
413.000 -7.176 56.68
414.000 -7.211 56.66
415.000 -7.304 56.61
416.000 -7.430 56.74
417.000 -7.758 56.66
418.000 -7.837 56.66
419.000 -7.992 56.61
420.000 -8.085 56.64
421.000 -8.121 56.68
422.000 -8.152 56.63
423.000 -8.195 56.67
424.000 -8.207 56.68
425.000 -8.276 56.73
426.000 -8.358 56.87
427.000 -8.749 56.83
428.000 -8.943 56.76
429.000 -8.969 56.74
430.000 -9.068 56.75
431.000 -9.108 56.72
432.000 -9.283 56.62
433.000 -9.240 56.60
434.000 -9.343 56.71
435.000 -9.695 56.71
436.000 -9.807 56.69
437.000 -9.885 56.71
438.000 -9.870 56.69
439.000 -9.964 56.69
440.000 -10.01 56.67
441.000 -10.07 56.65
442.000 -10.10 56.69
443.000 -10.26 56.64
444.000 -10.59 56.75
445.000 -10.87 56.70
446.000 -11.03 56.65
447.000 -11.20 56.64
448.000 -11.23 56.66
449.000 -11.32 56.86
450.000 -11.64 56.81
451.000 -11.73 56.81
452.000 -11.81 56.79
453.000 -11.79 56.80
454.000 -11.88 56.78
455.000 -11.97 56.77
456.000 -12.13 56.68
457.000 -12.14 56.73
458.000 -12.13 56.76
459.000 -12.17 56.70
460.000 -12.22 56.70
461.000 -12.29 56.70
462.000 -12.27 56.68
463.000 -12.45 56.88
464.000 -12.84 56.76
465.000 -12.95 56.73
466.000 -13.00 56.70
467.000 -13.04 56.71
468.000 -13.21 56.68
469.000 -13.19 56.60
470.000 -13.23 56.65
471.000 -13.25 56.65
472.000 -13.41 56.87
473.000 -13.78 56.77
474.000 -13.87 56.72
475.000 -13.93 56.77
476.000 -13.99 56.70
477.000 -14.03 56.70
478.000 -14.07 56.70
479.000 -14.12 56.64
480.000 -14.23 56.64
481.000 -14.22 56.66
482.000 -14.25 56.64
483.000 -14.27 56.65
484.000 -14.30 56.58
485.000 -14.36 56.95
486.000 -14.77 56.80
487.000 -14.86 56.75
488.000 -14.91 56.74
489.000 -14.93 56.66
490.000 -14.91 56.71
491.000 -15.00 56.68
492.000 -15.17 56.66
493.000 -15.13 56.69
494.000 -15.09 56.70
495.000 -15.17 56.71
496.000 -15.21 56.68
497.000 -15.22 56.68
498.000 -15.21 56.69
499.000 -15.23 56.69
500.000 -15.28 56.69
501.000 -15.38 56.78
502.000 -15.73 56.73
503.000 -15.85 56.73
504.000 -15.95 56.63
505.000 -15.97 56.64
506.000 -15.99 56.65
507.000 -16.02 56.61
508.000 -16.02 56.62
509.000 -16.02 56.63
510.000 -16.08 56.61
511.000 -16.09 56.61
512.000 -16.09 56.61
513.000 -16.10 56.62
514.000 -16.12 56.58
515.000 -16.09 56.62
516.000 -16.15 56.63
517.000 -16.15 56.59
518.000 -16.14 56.60
519.000 -16.15 56.57
520.000 -16.15 56.59
521.000 -16.16 56.58
522.000 -16.17 56.57
523.000 -16.19 56.57
524.000 -16.15 56.59
525.000 -16.20 56.60
526.000 -16.17 56.58
527.000 -16.17 56.58
528.000 -16.19 56.58
529.000 -16.20 56.60
530.000 -16.18 56.58
531.000 -16.24 56.57
532.000 -16.17 56.58
533.000 -16.17 56.60
534.000 -16.18 56.58
535.000 -16.21 56.56
536.000 -16.14 56.59
537.000 -16.19 56.58
538.000 -16.17 56.57
539.000 -16.16 56.56
540.000 -16.11 56.60
541.000 -16.09 56.61
542.000 -16.10 56.62
543.000 -16.06 56.61
544.000 -16.03 56.60
545.000 -16.02 56.65
546.000 -15.99 56.64
547.000 -15.97 56.69
548.000 -15.96 56.68
549.000 -15.89 56.66
550.000 -15.86 56.72
551.000 -15.83 56.74
552.000 -15.71 56.78
553.000 -15.73 56.75
554.000 -15.69 56.77
555.000 -15.68 56.73
556.000 -15.68 56.76
557.000 -15.63 56.77
558.000 -15.52 56.77
559.000 -15.51 56.79
560.000 -15.49 56.78
561.000 -15.46 56.80
562.000 -15.44 56.80
563.000 -15.39 56.81
564.000 -15.23 56.61
565.000 -14.95 56.70
566.000 -14.89 56.73
567.000 -14.86 56.78
568.000 -14.77 56.78
569.000 -14.73 56.83
570.000 -14.73 56.85
571.000 -14.73 56.84
572.000 -14.66 56.83
573.000 -14.57 56.88
574.000 -14.57 56.83
575.000 -14.56 56.82
576.000 -14.31 56.63
577.000 -14.03 56.67
578.000 -13.91 56.73
579.000 -13.87 56.74
580.000 -13.75 56.77
581.000 -13.73 56.75
582.000 -13.68 56.75
583.000 -13.66 56.74
584.000 -13.61 56.79
585.000 -13.61 56.77
586.000 -13.55 56.79
587.000 -13.51 56.81
588.000 -13.27 56.65
589.000 -12.94 56.79
590.000 -12.85 56.81
591.000 -12.73 56.81
592.000 -12.67 56.81
593.000 -12.58 56.79
594.000 -12.52 56.85
595.000 -12.52 56.83
596.000 -12.47 56.86
597.000 -12.29 56.64
598.000 -12.01 56.73
599.000 -11.94 56.77
600.000 -11.79 56.82
601.000 -11.81 56.79
602.000 -11.76 56.79
603.000 -11.72 56.82
604.000 -11.70 56.80
605.000 -11.63 56.79
606.000 -11.60 56.78
607.000 -11.47 56.79
608.000 -11.39 56.76
609.000 -11.22 56.68
610.000 -10.71 56.73
611.000 -10.53 56.74
612.000 -10.36 56.78
613.000 -10.33 56.73
614.000 -10.37 56.74
615.000 -10.23 56.66
616.000 -10.01 56.66
617.000 -9.905 56.70
618.000 -9.801 56.72
619.000 -9.765 56.72
620.000 -9.688 56.72
621.000 -9.691 56.73
622.000 -9.592 56.76
623.000 -9.545 56.74
624.000 -9.289 56.74
625.000 -9.016 56.76
626.000 -8.880 56.81
627.000 -8.748 56.88
628.000 -8.733 56.82
629.000 -8.611 56.86
630.000 -8.619 56.76
631.000 -8.572 56.79
632.000 -8.485 56.77
633.000 -8.460 56.71
634.000 -8.270 56.60
635.000 -7.979 56.63
636.000 -7.778 56.61
637.000 -7.757 56.67
638.000 -7.735 56.69
639.000 -7.670 56.71
640.000 -7.564 56.78
641.000 -7.612 56.78
642.000 -7.499 56.83
643.000 -7.485 56.81
644.000 -7.308 56.69
645.000 -6.887 56.81
646.000 -6.815 56.79
647.000 -6.677 56.80
648.000 -6.429 56.79
649.000 -6.428 56.78
650.000 -6.400 56.78
651.000 -6.308 56.63
652.000 -6.043 56.70
653.000 -5.955 56.73
654.000 -5.912 56.77
655.000 -5.895 56.78
656.000 -5.859 56.76
657.000 -5.809 56.86
658.000 -5.780 56.82
659.000 -5.718 56.86
660.000 -5.485 56.91
661.000 -5.490 56.91
662.000 -5.462 56.92
663.000 -5.403 56.98
664.000 -5.362 56.97
665.000 -5.347 57.02
666.000 -5.261 56.78
667.000 -4.931 56.83
668.000 -4.820 56.83
669.000 -4.760 56.83
670.000 -4.651 56.85
671.000 -4.600 56.81
672.000 -4.466 56.79
673.000 -4.453 56.83
674.000 -4.492 56.82
675.000 -4.395 56.82
676.000 -4.351 56.84
677.000 -4.308 56.58
678.000 -4.040 56.69
679.000 -3.982 56.66
680.000 -3.895 56.69
681.000 -3.876 56.69
682.000 -3.802 56.73
683.000 -3.837 56.73
684.000 -3.701 56.83
685.000 -3.781 56.80
686.000 -3.796 56.80
687.000 -3.748 56.84
688.000 -3.719 56.85
689.000 -3.694 56.86
690.000 -3.655 56.88
691.000 -3.654 56.86
692.000 -3.613 56.87
693.000 -3.588 56.91
694.000 -3.560 56.91
695.000 -3.531 56.91
696.000 -3.427 56.97
697.000 -3.464 56.90
698.000 -3.456 56.92
699.000 -3.432 56.90
700.000 -3.390 56.91
701.000 -3.421 56.90
702.000 -3.416 56.90
703.000 -3.425 56.87
704.000 -3.427 56.85
705.000 -3.396 56.88
706.000 -3.350 56.85
707.000 -3.304 56.73
708.000 -2.973 56.73
709.000 -2.979 56.73
710.000 -2.894 56.76
711.000 -2.881 56.72
712.000 -2.916 56.71
713.000 -2.906 56.71
714.000 -2.890 56.69
715.000 -2.890 56.70
716.000 -2.874 56.74
717.000 -2.926 56.71
718.000 -2.881 56.73
719.000 -2.880 56.74
720.000 -2.895 56.72
721.000 -2.905 56.74
722.000 -2.916 56.73
723.000 -2.895 56.74
724.000 -2.900 56.75
725.000 -2.908 56.74
726.000 -2.921 56.77
727.000 -2.976 56.73
728.000 -2.973 56.79
729.000 -2.975 56.77
730.000 -2.966 56.81
731.000 -2.974 56.78
732.000 -3.045 56.86
733.000 -3.026 56.87
734.000 -3.051 56.81
735.000 -3.046 56.82
736.000 -3.053 56.82
737.000 -3.109 56.83
738.000 -3.132 56.82
739.000 -3.138 56.79
740.000 -3.203 56.78
741.000 -3.207 56.78
742.000 -3.199 56.80
743.000 -3.191 56.77
744.000 -3.397 56.87
745.000 -3.700 56.80
746.000 -3.776 56.78
747.000 -3.830 56.75
748.000 -3.872 56.78
749.000 -3.868 56.73
750.000 -3.851 56.75
751.000 -3.943 56.70
752.000 -3.906 56.66
753.000 -3.954 56.71
754.000 -3.997 56.67
755.000 -3.986 56.69
756.000 -4.123 56.67
757.000 -4.132 56.59
758.000 -4.157 56.66
759.000 -4.147 56.60
760.000 -4.244 56.60
761.000 -4.262 56.61
762.000 -4.268 56.63
763.000 -4.302 56.68
