 Masse A  
t x y 
0.000 853.7 -9.410
1.000 856.1 -9.716
2.000 858.4 -9.311
3.000 860.8 -9.432
4.000 863.1 -9.352
5.000 865.6 -9.181
6.000 868.0 -9.449
7.000 870.1 -8.921
8.000 872.4 -9.351
9.000 875.0 -9.240
10.000 877.1 -8.729
11.000 879.3 -9.093
12.000 881.8 -8.541
13.000 883.7 -8.826
14.000 886.2 -8.618
15.000 888.2 -8.181
16.000 890.2 -8.632
17.000 892.1 -8.196
18.000 894.4 -8.330
19.000 896.2 -8.340
20.000 898.8 -8.025
21.000 900.4 -8.469
22.000 902.5 -8.090
23.000 904.0 -8.306
24.000 906.0 -8.294
25.000 907.6 -7.901
26.000 909.8 -8.055
27.000 911.3 -7.820
28.000 912.9 -7.980
29.000 914.4 -8.207
30.000 916.2 -7.957
31.000 917.8 -8.398
32.000 919.3 -7.958
33.000 920.8 -8.197
34.000 922.1 -8.152
35.000 923.6 -7.822
36.000 925.2 -8.112
37.000 926.5 -7.782
38.000 928.2 -7.677
39.000 929.6 -7.928
40.000 930.5 -7.723
41.000 931.7 -8.089
42.000 933.0 -7.756
43.000 933.8 -7.613
44.000 935.0 -7.595
45.000 936.0 -7.250
46.000 937.0 -7.925
47.000 937.7 -7.867
48.000 938.5 -7.773
49.000 939.6 -7.875
50.000 940.3 -7.527
51.000 941.3 -7.870
52.000 942.1 -7.359
53.000 942.5 -7.664
54.000 943.4 -7.632
55.000 943.8 -7.384
56.000 944.5 -7.691
57.000 945.1 -7.347
58.000 945.2 -7.492
59.000 945.4 -7.689
60.000 946.0 -7.394
61.000 946.0 -7.859
62.000 946.4 -7.416
63.000 946.6 -7.493
64.000 946.8 -7.670
65.000 946.8 -7.354
66.000 946.8 -7.773
67.000 946.7 -7.252
68.000 946.6 -7.597
69.000 946.3 -7.573
70.000 946.0 -7.346
71.000 946.0 -7.848
72.000 945.5 -7.533
73.000 945.2 -7.592
74.000 944.5 -7.594
75.000 944.2 -7.308
76.000 943.7 -7.880
77.000 943.3 -7.433
78.000 942.5 -7.553
79.000 942.1 -7.614
80.000 941.0 -7.400
81.000 940.5 -8.007
82.000 939.5 -7.700
83.000 938.6 -7.937
84.000 937.8 -8.156
85.000 936.7 -7.829
86.000 935.8 -8.206
87.000 934.4 -7.871
88.000 933.3 -8.299
89.000 932.2 -8.370
90.000 931.0 -7.758
91.000 929.8 -8.051
92.000 928.4 -7.823
93.000 927.3 -7.954
94.000 926.0 -8.046
95.000 924.3 -8.077
96.000 922.8 -8.421
97.000 921.2 -8.048
98.000 919.7 -8.363
99.000 918.1 -8.191
100.000 916.0 -7.971
101.000 914.6 -8.357
102.000 912.6 -7.951
