 Masse A  
t x y 
0.000 1.296E3 -90.35
1.000 1.295E3 -90.41
2.000 1.295E3 -90.59
3.000 1.294E3 -90.37
4.000 1.294E3 -90.55
5.000 1.293E3 -90.39
6.000 1.293E3 -90.37
7.000 1.292E3 -90.47
8.000 1.291E3 -90.26
9.000 1.291E3 -90.58
10.000 1.290E3 -90.34
11.000 1.289E3 -90.36
12.000 1.289E3 -90.39
13.000 1.288E3 -90.35
14.000 1.287E3 -90.51
15.000 1.286E3 -90.58
16.000 1.285E3 -90.57
17.000 1.284E3 -90.67
18.000 1.283E3 -90.43
19.000 1.283E3 -90.68
20.000 1.282E3 -90.54
21.000 1.281E3 -90.52
22.000 1.280E3 -90.68
23.000 1.279E3 -90.56
24.000 1.277E3 -90.84
25.000 1.276E3 -90.58
26.000 1.275E3 -90.51
27.000 1.274E3 -90.63
28.000 1.273E3 -90.41
29.000 1.272E3 -90.79
30.000 1.271E3 -90.73
31.000 1.269E3 -90.58
32.000 1.268E3 -90.96
33.000 1.267E3 -90.87
34.000 1.266E3 -91.05
35.000 1.264E3 -91.03
36.000 1.263E3 -91.06
37.000 1.262E3 -91.29
38.000 1.260E3 -91.14
39.000 1.259E3 -91.29
40.000 1.258E3 -91.27
41.000 1.256E3 -91.26
42.000 1.255E3 -91.36
43.000 1.253E3 -91.13
44.000 1.252E3 -91.34
45.000 1.250E3 -91.31
46.000 1.249E3 -91.23
47.000 1.247E3 -91.71
48.000 1.246E3 -91.24
49.000 1.244E3 -91.58
50.000 1.243E3 -91.46
51.000 1.241E3 -91.31
52.000 1.240E3 -91.76
53.000 1.238E3 -91.47
54.000 1.236E3 -92.00
55.000 1.234E3 -92.22
56.000 1.233E3 -91.93
57.000 1.231E3 -92.15
58.000 1.229E3 -92.05
59.000 1.228E3 -92.24
60.000 1.226E3 -92.14
61.000 1.225E3 -92.20
62.000 1.223E3 -92.45
63.000 1.221E3 -92.37
64.000 1.219E3 -92.32
65.000 1.217E3 -92.39
66.000 1.216E3 -92.44
67.000 1.214E3 -92.64
68.000 1.212E3 -92.46
69.000 1.210E3 -92.64
70.000 1.209E3 -92.44
71.000 1.207E3 -92.64
72.000 1.205E3 -92.54
73.000 1.203E3 -92.43
74.000 1.201E3 -92.49
75.000 1.199E3 -92.69
76.000 1.197E3 -92.82
77.000 1.195E3 -92.96
78.000 1.193E3 -93.36
79.000 1.192E3 -93.46
80.000 1.189E3 -93.49
81.000 1.187E3 -93.17
82.000 1.185E3 -93.47
83.000 1.183E3 -93.23
84.000 1.181E3 -93.33
85.000 1.179E3 -93.28
86.000 1.177E3 -93.29
87.000 1.175E3 -93.72
88.000 1.174E3 -93.43
89.000 1.172E3 -93.53
90.000 1.170E3 -93.59
91.000 1.168E3 -93.54
92.000 1.166E3 -93.97
93.000 1.164E3 -93.85
94.000 1.163E3 -93.80
95.000 1.161E3 -93.75
96.000 1.159E3 -93.59
97.000 1.157E3 -93.71
98.000 1.155E3 -93.35
99.000 1.153E3 -93.72
100.000 1.151E3 -93.95
101.000 1.150E3 -94.01
102.000 1.148E3 -94.35
103.000 1.146E3 -94.06
104.000 1.144E3 -94.35
105.000 1.142E3 -94.13
106.000 1.141E3 -94.07
107.000 1.139E3 -94.28
108.000 1.137E3 -94.15
109.000 1.135E3 -94.37
110.000 1.134E3 -94.19
111.000 1.132E3 -94.16
112.000 1.130E3 -94.76
113.000 1.129E3 -94.44
114.000 1.127E3 -94.66
115.000 1.125E3 -94.64
116.000 1.123E3 -94.42
117.000 1.122E3 -94.71
118.000 1.120E3 -94.51
119.000 1.118E3 -94.62
120.000 1.117E3 -94.66
121.000 1.115E3 -94.43
122.000 1.114E3 -94.58
123.000 1.112E3 -94.67
124.000 1.111E3 -94.70
125.000 1.109E3 -94.79
126.000 1.108E3 -94.71
127.000 1.106E3 -95.21
128.000 1.105E3 -95.13
129.000 1.103E3 -95.25
130.000 1.102E3 -95.26
131.000 1.100E3 -95.16
132.000 1.099E3 -95.44
133.000 1.098E3 -95.30
134.000 1.096E3 -95.40
135.000 1.095E3 -95.56
136.000 1.094E3 -95.09
137.000 1.092E3 -95.65
138.000 1.091E3 -95.19
139.000 1.090E3 -95.38
140.000 1.089E3 -95.46
141.000 1.088E3 -95.37
142.000 1.086E3 -95.57
143.000 1.085E3 -95.44
144.000 1.084E3 -95.58
145.000 1.083E3 -95.52
146.000 1.082E3 -95.33
147.000 1.081E3 -95.49
148.000 1.080E3 -95.39
149.000 1.079E3 -95.49
150.000 1.078E3 -95.44
151.000 1.077E3 -95.42
152.000 1.075E3 -95.73
153.000 1.075E3 -95.42
154.000 1.074E3 -95.72
155.000 1.073E3 -95.70
156.000 1.072E3 -95.59
157.000 1.071E3 -95.95
158.000 1.070E3 -96.12
159.000 1.070E3 -96.26
160.000 1.069E3 -96.34
161.000 1.068E3 -96.24
162.000 1.068E3 -96.42
163.000 1.067E3 -96.37
164.000 1.067E3 -96.30
165.000 1.066E3 -96.45
166.000 1.066E3 -95.88
167.000 1.065E3 -96.33
168.000 1.064E3 -96.22
169.000 1.064E3 -96.20
170.000 1.063E3 -96.42
171.000 1.063E3 -96.03
172.000 1.062E3 -96.35
173.000 1.062E3 -96.30
174.000 1.062E3 -96.24
175.000 1.062E3 -96.51
176.000 1.061E3 -96.32
177.000 1.061E3 -96.45
